"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"7066424","01001327121000671000000000U5","LADRILLERA PEDROZA",,"327121","Fabricación de ladrillos no refractarios","0 a 5 personas","CALLE","CALLE DE LA QUEMA","CALLE","ADOBES","CALLE","CUÑAS","CALLE","LADRILLERAS","310",,,,"0",,"FRACCIONAMIENTO","LOTES DE ARELLANO",,,,"20340","01","AGUASCALIENTES","001","Aguascalientes","0992","Lotes de Arellano","1763","003",,,,"Fijo","21.79521128","-102.26498186","2019-11"
"7066417","01001327121000632000000000U7","LADRILLERA PERICO",,"327121","Fabricación de ladrillos no refractarios","0 a 5 personas","CALLE","ADOBES","CALLE","CALLE DE LA QUEMA","CALLE","LADRILLERAS","CALLE","TABIQUES","0","SN",,,"0",,"FRACCIONAMIENTO","LOTES DE ARELLANO",,,,"20340","01","AGUASCALIENTES","001","Aguascalientes","0992","Lotes de Arellano","1763","002",,,,"Fijo","21.79600026","-102.26537217","2019-11"
"6912075","01001327121000251000000000U6","LADRILLERA RAMIREZ",,"327121","Fabricación de ladrillos no refractarios","0 a 5 personas","CALLE","TABIQUES","CALLE","LADRILLERAS","CALLE","CUMBRES","CALLE","ADOBES","10",,,,"0",,"FRACCIONAMIENTO","LOTES DE ARELLANO",,,,"20340","01","AGUASCALIENTES","001","Aguascalientes","0992","Lotes de Arellano","1763","001",,,,"Fijo","21.79701239","-102.26793025","2019-11"
"7461422","01005327121000321000000000U8","LADRILLERA REYES",,"327121","Fabricación de ladrillos no refractarios","0 a 5 personas",,"NINGUNO",,"NINGUNO",,"NINGUNO",,"NINGUNO",,"SN",,,,,"LOCALIDAD","LA CARTUJA",,,,"20916","01","AGUASCALIENTES","005","Jesús María","0375","El Barreno","0054","001","4493446849",,,"Fijo","21.98208806","-102.33677357","2019-11"
"7621837","01001327121000211000000000U0","LADRILLERA REYNALDO",,"327121","Fabricación de ladrillos no refractarios","0 a 5 personas","CALLE","EZEQUIEL PADILLA","CALLE","NINGUNO","OTRO(ESPECIFIQUE)","NINGUNO","CALLE","NINGUNO",,"SN",,,,,"LOCALIDAD","LOMAS DE ARELLANO",,,,"20394","01","AGUASCALIENTES","001","Aguascalientes","0988","Lomas de Arellano","1763","008",,,,"Fijo","21.77606792","-102.26565336","2019-11"
"7066418","01001327121000641000000000U8","LADRILLERA RODOLFO",,"327121","Fabricación de ladrillos no refractarios","0 a 5 personas","CALLE","ADOBES","CALLE","CALLE DE LA QUEMA","CALLE","LADRILLERAS","CALLE","TABIQUES","0","SN",,,"0",,"FRACCIONAMIENTO","LOTES DE ARELLANO",,,,"20340","01","AGUASCALIENTES","001","Aguascalientes","0992","Lotes de Arellano","1763","002",,,,"Fijo","21.79600863","-102.26578038","2019-11"
"7066429","01001327121000711000000000U9","LADRILLERA RUBEN ARTURO",,"327121","Fabricación de ladrillos no refractarios","0 a 5 personas","CALLE","ADOBES","CALLE","CALLE DE LA QUEMA","CALLE","LADRILLERAS","CALLE","CUÑAS","0","SN",,,"0",,"FRACCIONAMIENTO","LOTES DE ARELLANO",,,,"20340","01","AGUASCALIENTES","001","Aguascalientes","0992","Lotes de Arellano","1763","003",,,,"Fijo","21.79590809","-102.26618837","2019-11"
"8196371","01001327121000781000000000U2","LADRILLERA RUIZ",,"327121","Fabricación de ladrillos no refractarios","0 a 5 personas","CALLE","CALLE DEL HORNO","OTRO(ESPECIFIQUE)","NINGUNO","CALLE","CALLE DE LA QUEMA","CALLE","CUÑAS","406",,,,"0",,"FRACCIONAMIENTO","LOTES DE ARELLANO",,,,"20340","01","AGUASCALIENTES","001","Aguascalientes","0992","Lotes de Arellano","1763","011",,,,"Fijo","21.79388887","-102.26338538","2019-11"
"7408313","01007327121000053000000000U3","LADRILLERA SAN JUDITAS",,"327121","Fabricación de ladrillos no refractarios","6 a 10 personas","CALLE","JUAN PABLO II","CALLE","JUAN PABLO II","AVENIDA","UNIVERSIDAD","CALLE","JUAN PABLO II","0","SN",,,"0",,"COLONIA","INDEPENDENCIA",,,,"20410","01","AGUASCALIENTES","007","Rincón de Romos","0001","Rincón de Romos","0063","046","4651048024",,,"Fijo","22.2227811","-102.31406309","2019-11"
"49706","01005327121000131001000000U1","LADRILLERA SANTA ALEJANDRA",,"327121","Fabricación de ladrillos no refractarios","0 a 5 personas","CALLE","MIGUEL HIDALGO","OTRO(ESPECIFIQUE)","RIO","PRIVADA","NINGUNO","PRIVADA","PRIVADA DE LA CRUZ","0","SN",,,,,"COLONIA","LOS RAMIREZ",,,,"20904","01","AGUASCALIENTES","005","Jesús María","0076","Los Ramírez","0035","004","4491203648",,,"Fijo","21.97305051","-102.32739314","2014-12"
